l_code	y	y_est	y_deviation	ranking
nv	0.298	-23.495728627507265	23.793728627507264	49
krc	0.328	-23.430685779149726	23.758685779149726	50
tyv	0.108	-23.646490152975623	23.754490152975624	51
lb	1.900	-21.830855481870596	23.730855481870595	52
ext	0.378	-23.248944955134196	23.626944955134196	53
kv	0.332	-23.28681619659913	23.61881619659913	54
se	0.546	-23.017241991601047	23.563241991601046	55
lez	0.255	-23.28681619659913	23.54181619659913	56
cy	2.700	-20.833274329108665	23.533274329108664	57
mt	1.300	-22.216255783276598	23.5162557832766	58
br	2.400	-21.052676566477096	23.452676566477095	59
scn	1.200	-22.24900893188934	23.449008931889338	60
ksh	0.424	-22.92233776925912	23.34633776925912	61
kaa	0.230	-23.07471152572197	23.30471152572197	62
rue	0.414	-22.72610863210377	23.14010863210377	63
mk	6.400	-16.730072915212734	23.130072915212736	64
zea	0.299	-22.77974846622836	23.078748466228358	65
sah	0.706	-22.27972911874495	22.98572911874495	66
co	0.688	-22.158135755633875	22.846135755633874	67
myv	0.318	-22.351663910020246	22.669663910020247	68
mg	1.700	-20.873639805498136	22.573639805498136	69
nap	0.725	-21.822307680487175	22.547307680487176	70
os	0.612	-21.93308853815249	22.545088538152488	71
my	1.300	-21.21534602342124	22.51534602342124	72
ga	1.400	-21.108065169903462	22.50806516990346	73
lij	0.350	-22.135221931515428	22.48522193151543	74
szl	0.404	-22.014855757356457	22.418855757356457	75
so	0.654	-21.737774831829096	22.391774831829096	76
ast	1.300	-21.045914419663887	22.345914419663888	77
udm	0.277	-21.848120371093156	22.125120371093157	78
tpi	0.248	-21.817652373037664	22.065652373037665	79
av	0.212	-21.776185579817856	21.988185579817856	80
vec	0.953	-20.883564927402414	21.836564927402414	81
diq	0.658	-20.544033864307018	21.20203386430702	82
wa	0.658	-20.244554737315937	20.90255473731594	83
kab	0.273	-20.604862078649905	20.877862078649905	84
bg	31.000	10.202998147625703	20.797001852374297	85
am	0.982	-19.771671171850905	20.753671171850904	86
ce	0.864	-19.833946215384795	20.697946215384796	87
pag	0.219	-20.464679578308484	20.683679578308485	88
yi	0.888	-19.780669172992315	20.668669172992317	89
ace	0.463	-20.10430855272268	20.567308552722682	90
fy	1.400	-19.047253807195624	20.447253807195622	91
lo	0.524	-19.821043221297842	20.345043221297843	92
pcd	0.270	-19.904699716198905	20.174699716198905	93
sc	0.381	-19.745694923663308	20.126694923663308	94
bjn	0.266	-19.7567011594629	20.022701159462898	95
nn	5.300	-14.708601623209926	20.008601623209927	96
om	0.233	-19.552690262234634	19.785690262234635	97
bug	0.366	-19.33551127525257	19.70151127525257	98
hu	65.700	46.09120408174938	19.60879591825062	99
hr	26.100	6.581487181659483	19.51851281834052	100
war	3.200	-16.05364794125918	19.253647941259178	101
mn	2.000	-16.824461452609253	18.824461452609253	102
ky	1.000	-17.681596639298004	18.681596639298004	103
km	0.655	-18.013266585857654	18.668266585857655	104
ka	7.700	-10.729726322917116	18.429726322917116	105
pam	0.590	-17.818060596078897	18.408060596078897	106
li	0.871	-17.502773258630356	18.373773258630354	107
bcl	0.526	-17.818060596078897	18.344060596078897	108
lg	0.079	-18.25893368402772	18.33793368402772	109
ht	0.884	-17.359631146270022	18.243631146270022	110
vls	0.504	-17.1039050219018	17.6079050219018	111
pms	0.755	-16.616552413380774	17.371552413380773	112
tk	0.552	-15.688888087732787	16.240888087732788	113
ay	0.286	-15.89048336767978	16.17648336767978	114
