tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
ka-TR	ka	TR	Georgian		0.0006			TR	TUR
kaa-UZ	kaa	UZ	Kara-Kalpak		0.0160			UZ	UZB
kab-DZ	kab	DZ	Kabyle		0.0780	R1293	10	DZ	DZA
kac-MM	kac	MM	Kachin		0.0170			MM	MMR
kaj-NG	kaj	NG	Jju		0.0021			NG	NGA
kam-KE	kam	KE	Kamba		0.0760			KE	KEN
kao-ML	kao	ML	Xaasongaxango		0.0100			ML	MLI
kbd-RU	kbd	RU	Kabardian	official_regional	0.0031			RU	RUS
kbd-TR	kbd	TR	Kabardian		0.0077			TR	TUR
kcg-NG	kcg	NG	Tyap		0.0009			NG	NGA
kck-ZW	kck	ZW	Kalanga		0.0530			ZW	ZWE
kde-TZ	kde	TZ	Makonde		0.0240			TZ	TZA
kdt-KH	kdt	KH	Kuy		0.0011			KH	KHM
kdt-LA	kdt	LA	Kuy		0.0096	R1231		LA	LAO
kdt-TH	kdt	TH	Kuy		0.0048		50	TH	THA
kea-CV	kea	CV	Kabuverdianu		0.9100	R1031		CV	CPV
kfo-CI	kfo	CI	Koro		0.0023			CI	CIV
kfr-IN	kfr	IN	Kachchi		0.0008			IN	IND
kfy-IN	kfy	IN	Kumaoni		0.0022			IN	IND
kg-CD	kg	CD	Kongo	official_regional	0.0150			CD	COD
kge-ID	kge	ID	Komering		0.0032			ID	IDN
kgp-BR	kgp	BR	Kaingang		0.0001			BR	BRA
kha-IN	kha	IN	Khasi	official_regional	0.0008		29	IN	IND
khb-CN	khb	CN	Lü		0.0002	R1094		CN	CHN
khn-IN	khn	IN	Khandesi		0.0015			IN	IND
khq-ML	khq	ML	Koyra Chiini		0.0170			ML	MLI
kht-IN	kht	IN	Khamti		0.0000			IN	IND
kht-MM	kht	MM	Khamti		0.0001			MM	MMR
khw-PK	khw	PK	Khowar		0.0015			PK	PAK
ki-KE	ki	KE	Kikuyu		0.1700			KE	KEN
kiu-TR	kiu	TR	Kirmanjki		0.0019			TR	TUR
kj-NA	kj	NA	Kuanyama		0.3500			NA	NAM
kjg-LA	kjg	LA	Khmu		0.0580	R1230		LA	LAO
kk_Arab-AF	kk_Arab	AF	Kazakh (Arabic)		0.0001	R1119		AF	AFG
kk_Arab-CN	kk_Arab	CN	Kazakh (Arabic)		0.0009	R1123		CN	CHN
kk_Arab-IR	kk_Arab	IR	Kazakh (Arabic)		0.0000	R1119		IR	IRN
kk_Arab-MN	kk_Arab	MN	Kazakh (Arabic)		0.0720	R1119		MN	MNG
kk_Cyrl-KZ	kk_Cyrl	KZ	Kazakh (Cyrillic)	official	0.6400	R1068		KZ	KAZ
kk_Cyrl-TR	kk_Cyrl	TR	Kazakh (Cyrillic)		0.0000	R1119		TR	TUR
kkj-CM	kkj	CM	Kako		0.0054			CM	CMR
kl-DK	kl	DK	Kalaallisut	official_regional	0.0013			DK	DNK
kl-GL	kl	GL	Kalaallisut	official	0.8400			GL	GRL
kln-KE	kln	KE	Kalenjin		0.0760			KE	KEN
km-KH	km	KH	Khmer	official	0.8900			KH	KHM
kmb-AO	kmb	AO	Kimbundu		0.2500	R1034	10	AO	AGO
kn-IN	kn	IN	Kannada	official_regional	0.0370	R1195		IN	IND
