tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
zh_Hant-PF	zh_Hant	PF	Chinese (Traditional)		0.0780			PF	PYF
zh_Hant-PH	zh_Hant	PH	Chinese (Traditional)		0.0073			PH	PHL
zh_Hant-SR	zh_Hant	SR	Chinese (Traditional)		0.0120			SR	SUR
zh_Hant-TH	zh_Hant	TH	Chinese (Traditional)		0.0180			TH	THA
zh_Hant-TW	zh_Hant	TW	Chinese (Traditional)	official	0.9500			TW	TWN
zh_Hant-US	zh_Hant	US	Chinese (Traditional)		0.0069			US	USA
zh_Hant-VN	zh_Hant	VN	Chinese (Traditional)		0.0100			VN	VNM
zmi-MY	zmi	MY	Negeri Sembilan Malay		0.0120			MY	MYS
zu-LS	zu	LS	Zulu		0.1400			LS	LSO
zu-MW	zu	MW	Zulu		0.0033			MW	MWI
zu-MZ	zu	MZ	Zulu		0.0001			MZ	MOZ
zu-SZ	zu	SZ	Zulu		0.0680			SZ	SWZ
zu-ZA	zu	ZA	Zulu	official_regional	0.2400		50	ZA	ZAF
zza-TR	zza	TR	Zaza		0.0140			TR	TUR
