l_code	y	y_est	y_deviation_perc	ranking
tl	9.100	68.77651129841644	-0.8676873858792322	41
bn	8.600	213.21474895945113	-0.95966507925943	42
be	8.400	0.473842473731267	16.727410406784134	43
ka	7.700	-35.00116118822539	-1.2199927013447294	44
lv	7.500	-35.21799362268264	-1.2129593207481735	45
eu	7.500	-34.08126336989022	-1.2200622646702124	46
eo	7.300	-42.1145828940434	-1.173336633022489	47
gl	6.600	-16.698299801663566	-1.3952498205441537	48
bs	6.600	-24.274375909183682	-1.27189164511138	49
hy	6.500	-27.02207972218301	-1.2405440316521608	50
mk	6.400	-36.75921065555105	-1.1741060236567817	51
sq	5.900	-28.900389120748468	-1.2041495003873222	52
ta	5.500	71.70790749532176	-0.9232999512590878	53
af	5.400	-17.106256688747266	-1.3156739722929678	54
nn	5.300	-22.18827225939254	-1.2388649254903772	55
ml	4.600	21.6796900219516	-0.7878198445022827	56
arz	3.900	99.39982952572275	-0.9607645202350095	57
mr	3.700	73.16266093338827	-0.9494277551855487	58
war	3.200	-37.58635921559823	-1.0851372696579777	59
uz	3.000	-1.7758610923197722	-2.6893213174016664	60
is	3.000	-38.91174541169657	-1.0770975438973298	61
ur	2.900	233.3213612113422	-0.9875707908399644	62
cy	2.700	-37.627535914886145	-1.0717559610097092	63
te	2.600	76.45642258366819	-0.9659937005664272	64
ceb	2.500	-4.607513150735883	-1.5425920487282203	65
sw	2.500	14.044425414180445	-0.8219934296866437	66
oc	2.500	-23.63882681329409	-1.1057582095653766	67
br	2.400	-37.00614978944699	-1.064854085433238	68
mn	2.000	-29.984447963929938	-1.066701244672102	69
jv	2.000	157.3173380396753	-0.9872868431100988	70
ku	1.900	-16.466152741701073	-1.1153882166529516	71
lb	1.900	-34.21922257493517	-1.0555243473413012	72
als	1.700	-23.91494282079231	-1.0710852629980772	73
mg	1.700	-35.09561204456427	-1.0484391039495577	74
sco	1.600	-26.89163014223365	-1.0594980665559275	75
tt	1.500	-30.238196236463274	-1.0496061335229778	76
kn	1.500	18.815593703769707	-0.9202788908170634	77
fy	1.400	-33.96420331115084	-1.041219868670977	78
ga	1.400	-36.26950485268884	-1.0385999203927982	79
ckb	1.300	-6.0380333204214125	-1.2153018923567764	80
my	1.300	-7.414721612548142	-1.1753268791373062	81
ast	1.300	-37.414994868374414	-1.0347454277241888	82
mt	1.300	-38.9885483403908	-1.0333431239514306	83
bar	1.200	44.863953476082614	-0.9732524686965064	84
scn	1.200	-38.06239057296784	-1.0315271842345144	85
su	1.200	27.556328428303445	-0.9564528343054779	86
ne	1.200	-25.999274413136895	-1.0461551342138096	87
nds	1.200	60.3329990469845	-0.9801103870360315	88
yo	1.100	-11.085797652826521	-1.0992260579210136	89
ky	1.000	-38.65317716721334	-1.0258710945202256	90
qu	0.991	-16.88241727519706	-1.0587001247419667	91
am	0.982	-31.58383339617562	-1.0310918560037399	92
zh-min-nan	0.963	32.45584731025794	-0.9703289212943876	93
vec	0.953	-35.68779179046589	-1.0267038096835848	94
lmo	0.942	-7.142641720476426	-1.1318839775064578	95
ia	0.936	-42.11776481507448	-1.022223401552995	96
ba	0.925	-31.0868248500308	-1.0297553707868972	97
pnb	0.913	99.9548765138842	-0.9908658783658927	98
new	0.893	-41.61852196479316	-1.0214567927413527	99
yi	0.888	-36.530323109451864	-1.0243085722877232	100
ht	0.884	-38.659824514162224	-1.022866115175359	101
pa	0.877	242.02874985417708	-0.9963764635377887	102
si	0.872	-9.139935907783794	-1.0954054830140967	103
li	0.871	-31.688446981311444	-1.0274863580570446	104
tg	0.868	-36.438071944891654	-1.0238212384374439	105
ce	0.864	-36.518047976862995	-1.023659534062374	106
gu	0.861	31.99400279057798	-0.9730887064792794	107
cv	0.825	-31.0868248500308	-1.0265385739450705	108
gd	0.812	-41.56066004798894	-1.0195377070302156	109
ilo	0.809	-27.11440335613957	-1.0298365407261236	110
or	0.759	10.581189578069917	-0.9282689347544563	111
pms	0.755	-28.26717059514727	-1.0267094294937893	112
nap	0.725	-37.320328453435984	-1.0194264099498636	113
bpy	0.712	-42.00700893029917	-1.0169495524230587	114
sah	0.706	-39.40338526299259	-1.0179172422696148	115
as	0.691	-20.709546099589254	-1.0333662551886496	116
co	0.688	-38.60776452391691	-1.0178202495918611	117
bo	0.682	-34.05145817055611	-1.0200285108668186	118
mzn	0.678	-26.997448050761797	-1.02511348475327	119
diq	0.658	-37.20715301877673	-1.0176847715187436	120
wa	0.658	-35.70562854151339	-1.0184284670758554	121
km	0.655	-32.144632073030884	-1.0203766525780067	122
so	0.654	-39.607801118657136	-1.0165118987050241	123
hsb	0.635	-41.982394165244166	-1.0151253879781277	124
os	0.612	-39.23182015874631	-1.0155995821127755	125
sa	0.603	-42.09923425650701	-1.0143233009020063	126
ig	0.602	-11.38713613098351	-1.0528666728030067	127
pam	0.590	-38.52414630749005	-1.015315070067764	128
gan	0.572	24.605863716924617	-0.9767535085709443	129
wuu	0.563	193.38051097359119	-0.9970886414708209	130
ps	0.556	-1.0271224844746314	-1.541318108019407	131
mi	0.554	-41.20333456806739	-1.0134455137140612	132
tk	0.552	-20.925103970001047	-1.0263797972421722	133
se	0.546	-39.1325463993078	-1.0139525804027325	134
bcl	0.526	-38.52414630749005	-1.0136537743315999	135
lo	0.524	-36.82194258287149	-1.014230645187192	136
vls	0.504	-31.061465300727143	-1.016225892601023	137
gn	0.483	-31.301229157466906	-1.0154307039372217	138
ace	0.463	-33.990208880025605	-1.013621569718334	139
dsb	0.432	-42.04557289603276	-1.0102745656734948	140
min	0.429	-24.700165512730656	-1.0173683046690067	141
ksh	0.424	-39.55769692957386	-1.0107185208672502	142
rue	0.414	-40.974229730441806	-1.0101039117202104	143
szl	0.404	-39.28552436358851	-1.010283686078897	144
hak	0.396	48.15581449692459	-0.9917766939644372	145
frr	0.389	-42.016544830535295	-1.0092582577070284	146
frp	0.389	-41.539951499331096	-1.0093644789163094	147
sc	0.381	-33.70895947171426	-1.0113026330676183	148
ext	0.378	-40.34594993453423	-1.0093689701348796	149
kw	0.373	-42.10151355354908	-1.0088595389694381	150
lad	0.373	-41.30536142570384	-1.0090303047140967	151
stq	0.371	-42.10875162682135	-1.0088105200383972	152
bug	0.366	-32.69577833280188	-1.0111941057427838	153
csb	0.364	-41.83564958012667	-1.008700713474111	154
fur	0.354	-41.82217197859595	-1.00846440974374	155
lij	0.350	-37.86450734109268	-1.0092434848510536	156
vep	0.341	-42.0977811110695	-1.0081001893924129	157
kv	0.332	-40.59146532198714	-1.008179059252147	158
krc	0.328	-40.761191044700645	-1.0080468698679659	159
mrj	0.322	-41.94078481755951	-1.0076774910484076	160
myv	0.318	-39.48824812434935	-1.008053028815019	161
zea	0.299	-39.463947774929395	-1.0075765354673905	162
nv	0.298	-40.081282667403556	-1.0074348918040579	163
zu	0.296	-3.1393345974337876	-1.0942874965420895	164
ln	0.291	-41.314667826150576	-1.0070435033200438	165
ay	0.286	-37.54798983348715	-1.0076169190752506	166
rm	0.279	-41.59406339161821	-1.0067076880028083	167
udm	0.277	-38.894208094852075	-1.007121883014676	168
kab	0.273	-32.21239315820207	-1.0084749990061044	169
pcd	0.270	-35.34293448826667	-1.0076394335645682	170
sn	0.267	-37.07267254891659	-1.0072020704643752	171
bjn	0.266	-33.38092323099623	-1.0079686232210918	172
kl	0.265	-42.04288898852387	-1.0063030873085894	173
lez	0.255	-40.59146532198714	-1.0062821087629443	174
wo	0.248	-36.72061395135387	-1.0067536997156021	175
ab	0.248	-41.930240268835696	-1.0059145857121243	176
tpi	0.248	-39.215787790428635	-1.0063239836293822	177
pdc	0.246	-40.52957978238469	-1.0060696410207273	178
om	0.233	-32.1174863695406	-1.0072546150504782	179
