	l_code	l_name	l_name_left	exact
94	lv	Latvian	Latvian	True
95	he	Hebrew	Hebrew	True
96	pt	Portuguese	Portuguese	True
97	frr	North Frisian	Northern Frisian	False
98	frp	Arpitan	Arpitan	True
99	war	Waray-Waray	Waray	False
100	pl	Polish	Polish	True
101	hy	Armenian	Armenian	True
102	hr	Croatian	Croatian	True
103	ht	Haitian	Haitian	True
104	hu	Hungarian	Hungarian	True
105	gan	Gan	Gan Chinese	False
106	hi	Hindi	Hindi	True
107	bug	Buginese	Buginese	True
108	udm	Udmurt	Udmurt	True
109	mg	Malagasy	Malagasy	True
110	fur	Friulian	Friulian	True
111	ml	Malayalam	Malayalam	True
112	mi	Maori	Maori	True
113	as	Assamese	Assamese	True
114	mk	Macedonian	Macedonian	True
115	ur	Urdu	Urdu	True
116	mt	Maltese	Maltese	True
117	stq	Saterland Frisian	Saterfriesisch	False
118	uk	Ukrainian	Ukrainian	True
119	mr	Marathi	Marathi	True
120	haw	Hawai'ian	Hawaiian	False
121	my	Burmese	Burmese	True
122	mzn	Mazandarani	Mazanderani	False
123	ab	Abkhazian	Abkhazian	True
124	af	Afrikaans	Afrikaans	True
125	vi	Vietnamese	Vietnamese	True
126	is	Icelandic	Icelandic	True
127	am	Amharic	Amharic	True
128	ps	Pashto	Pashto	True
129	myv	Erzya	Erzya	True
130	ay	Aymara	Aymara	True
131	ik	Inupiak	Inupiaq	False
132	ar	Arabic	Arabic	True
133	su	Sundanese	Sundanese	True
134	av	Avar	Avaric	False
135	ia	Interlingua	Interlingua	True
136	st	Sesotho	Southern Sotho	False
137	id	Indonesian	Indonesian	True
138	ig	Igbo	Igbo	True
139	pap	Papiamentu	Papiamento	False
140	nl	Dutch	Dutch	True
141	nn	Nynorsk	Norwegian Nynorsk	False
142	min	Minangkabau	Minangkabau	True
143	na	Nauruan	Nauru	False
144	ne	Nepali	Nepali	True
145	lij	Ligurian	Ligurian	True
146	csb	Cassubian	Kashubian	False
147	nap	Neapolitan	Neapolitan	True
148	pag	Pangasinan	Pangasinan	True
149	so	Somali	Somali	True
150	pam	Kapampangan	Pampanga	False
151	nv	Navajo	Navajo	True
152	sn	Shona	Shona	True
153	kab	Kabyle	Kabyle	True
154	kaa	Karakalpak	Kara-Kalpak	False
155	lad	Ladino	Ladino	True
156	fy	Frisian	Western Frisian	False
157	sv	Swedish	Swedish	True
158	fa	Persian	Persian	True
159	fi	Finnish	Finnish	True
160	tyv	Tuvan	Tuvinian	False
161	fo	Faroese	Faroese	True
162	ka	Georgian	Georgian	True
163	ckb	Sorani	Sorani Kurdish	False
164	pdc	Pennsylvania German	Pennsylvania German	True
165	sq	Albanian	Albanian	True
166	ko	Korean	Korean	True
167	kn	Kannada	Kannada	True
168	tpi	Tok Pisin	Tok Pisin	True
169	kl	Greenlandic	Kalaallisut	False
170	sk	Slovak	Slovak	True
171	ext	Extremaduran	Extremaduran	True
172	kw	Cornish	Cornish	True
173	kv	Komi	Komi	True
174	mrj	Western Mari	Western Mari	True
175	sl	Slovene	Slovenian	False
176	sc	Sardinian	Sardinian	True
177	sa	Sanskrit	Sanskrit	True
178	sw	Swahili	Swahili	True
179	se	Northern Sami	Northern Sami	True
